Game,Sample_score,Sample_reward,MeanScore,Mean_reward,Record
170600,4,-10.9,5.6968698710433765,-8.015571,104
170700,3,-10.4,5.697334504979496,-8.015641,104
170800,4,-11.0,5.697909836065573,-8.015513,104
170900,14,-8.4,5.698227033352838,-8.015212,104
171000,14,-9.45,5.6984327485380115,-8.01521,104
171100,34,-11.0,5.698357685563997,-8.014914,104
171200,19,-9.9,5.69873831775701,-8.01482,104
171300,4,-10.7,5.698563922942206,-8.014755,104
171400,4,-11.0,5.699066511085181,-8.014575,104
171500,13,-7.45,5.698874635568513,-8.014309,104
171600,12,-8.9,5.6985839160839165,-8.014193,104
171700,2,-9.95,5.698718695398951,-8.014023,104
171800,4,-9.75,5.698783469150174,-8.013779,104
171900,2,-9.9,5.699220477021524,-8.013773,104
172000,4,-10.9,5.699877906976744,-8.013803,104
172100,6,-10.4,5.699808251016851,-8.01355,104
172200,94,-8.9,5.700348432055749,-8.013178,104
172300,4,-10.45,5.700748694138131,-8.012992,104
172400,4,-9.9,5.701664733178654,-8.01265,104
172500,4,-11.4,5.701640579710145,-8.012243,104
172600,4,-10.7,5.701378910776362,-8.01197,104
172700,4,-10.4,5.701262304574406,-8.012004,104
172800,4,-10.45,5.700734953703703,-8.011843,104
172900,4,-10.45,5.7011451706188545,-8.011557,104
173000,4,-9.95,5.700589595375723,-8.011414,104
173100,19,-9.5,5.700970537261698,-8.011283,104
173200,4,-10.4,5.700825635103926,-8.011101,104
173300,3,-9.9,5.7007789959607615,-8.011015,104
173400,4,-10.4,5.701141868512111,-8.011253,104
173500,4,-9.9,5.700985590778098,-8.011358,104
173600,4,-9.9,5.701008064516129,-8.011348,104
173700,4,-10.4,5.701272308578008,-8.011619,104
173800,1,-10.45,5.701472957422324,-8.011575,104
173900,12,-8.9,5.701449108683152,-8.011389,104
174000,4,-10.75,5.7009942528735635,-8.011014,104
174100,6,-10.4,5.7012751292360715,-8.010744,104
174200,14,-7.9,5.701268656716418,-8.010328,104
174300,4,-10.95,5.702180149168101,-8.009965,104
174400,4,-10.95,5.7022878440366975,-8.00972,104
174500,6,-10.4,5.702223495702006,-8.009612,104
174600,4,-9.7,5.702222222222222,-8.009668,104
174700,14,-8.4,5.702323983972525,-8.009585,104
174800,4,-10.9,5.702803203661327,-8.009515,104
174900,4,-9.9,5.703030303030303,-8.009211,104
175000,4,-10.4,5.702828571428571,-8.00944,104
175100,2,-9.95,5.703198172472873,-8.009444,104
175200,14,-8.9,5.703424657534247,-8.009294,104
175300,4,-10.4,5.703320022818026,-8.009096,104
175400,2,-9.95,5.702947548460662,-8.008876,104
175500,4,-10.45,5.703065527065527,-8.008842,104
175600,4,-9.9,5.702995444191344,-8.008524,104
175700,3,-9.9,5.702549800796813,-8.008287,104
175800,4,-10.5,5.702536973833902,-8.008356,104
175900,6,-10.4,5.702507106310404,-8.00858,104
176000,14,-8.9,5.702232954545455,-8.008427,104
176100,4,-10.4,5.702345258375923,-8.00827,104
176200,1,-10.45,5.702162315550511,-8.008097,104
176300,2,-10.45,5.702013613159387,-8.008193,104
176400,4,-10.5,5.70218820861678,-8.008043,104
176500,3,-11.45,5.702016997167139,-8.0080595,104
176600,3,-10.4,5.702253680634201,-8.0081,104
176700,12,-8.4,5.702320316921336,-8.007957,104
176800,4,-10.4,5.702533936651584,-8.008003,104
176900,4,-10.25,5.702939513849633,-8.007481,104
177000,4,-10.45,5.702977401129943,-8.007318,104
177100,4,-10.4,5.702817617165444,-8.007149,104
177200,14,-7.9,5.703103837471783,-8.006979,104
177300,3,-10.9,5.702859560067682,-8.006726,104
177400,4,-10.0,5.702750845546787,-8.006738,104
177500,1,-9.45,5.702907042253521,-8.006702,104
177600,6,-10.9,5.7031024774774774,-8.006408,104
177700,4,-11.4,5.70274620146314,-8.006387,104
177800,4,-10.4,5.702716535433071,-8.005983,104
177900,4,-9.9,5.70345137717819,-8.005817,104
178000,14,-8.45,5.703685393258427,-8.005747,104
178100,4,-10.4,5.703672094329028,-8.005636,104
178200,2,-10.4,5.703670033670034,-8.005677,104
178300,4,-10.9,5.7038923163208075,-8.005126,104
178400,3,-10.45,5.7036378923766815,-8.004904,104
178500,16,-8.9,5.703787114845938,-8.004738,104
178600,9,-10.95,5.704014557670773,-8.004746,104
178700,4,-10.4,5.704029099048685,-8.004693,104
178800,2,-9.95,5.704798657718121,-8.004496,104
178900,1,-9.4,5.705533817775294,-8.004189,104
179000,13,-7.4,5.706206703910614,-8.004232,104
179100,4,-10.9,5.706125069793411,-8.004274,104
179200,2,-9.9,5.706149553571429,-8.003932,104
179300,4,-10.9,5.706285554935862,-8.003734,104
179400,4,-10.1,5.7060367892976585,-8.003614,104
179500,4,-9.9,5.7056713091922004,-8.003357,104
179600,4,-10.9,5.706074610244989,-8.003448,104
179700,14,-8.9,5.705976627712855,-8.00333,104
179800,14,-8.4,5.705917686318132,-8.003177,104
179900,44,-7.4,5.706320177876598,-8.0030575,104
180000,14,-8.4,5.706333333333333,-8.002669,104
180100,4,-10.95,5.706174347584676,-8.002246,104
180200,3,-10.4,5.706176470588235,-8.002191,104
180300,4,-10.9,5.70587909040488,-8.002096,104
180400,4,-10.4,5.705554323725055,-8.001866,104
180500,4,-10.4,5.705069252077562,-8.001469,104
180600,4,-10.9,5.70468438538206,-8.001407,104
180700,12,-7.9,5.704731599335916,-8.001359,104
180800,4,-10.25,5.704817477876106,-8.001326,104
180900,9,-11.2,5.705428413488115,-8.001353,104
181000,2,-9.4,5.705668508287292,-8.001133,104
181100,2,-9.9,5.705450027609055,-8.000898,104
